ASIGNATURA,TEMA O CONCEPTO,SOLO,BLOOM,TEMA_CLASIFICADO,APRENDIZAJE_ASIGNATURA
INGENIERÍA WEB,Validaciones del despliegue a producción,Abstracto Extendido,Crear,Proyecto Integrador,Integra aplicaciones orientadas a objetos con bases de datos para el desarrollo de soluciones prácticas
INGENIERÍA WEB,Manual de Documentaciòn técnica,Relacional,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ARQUITECTURA DE SOFTWARE,Arquitectura cliente servidor orientado a capas,Abstracto Extendido,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
INGENIERÍA WEB,Especificaciones para entrega de HTML,Multiestructural,Crear,Programación Python,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
ARQUITECTURA DE SOFTWARE,Definicion del alcance de la arquitectura a implementar,Multiestructural,Comprender,Otros,"Explica fenómenos sociales o naturales a través de conocimientos científicos, tecnológicos y contextuales, en función de la resolución de problemas y la toma decisiones."
ARQUITECTURA DE SOFTWARE,Definicion del alcance y justificacion de la aplicacion ADM,Multiestructural,Comprender,Otros,"Explica fenómenos sociales o naturales a través de conocimientos científicos, tecnológicos y contextuales, en función de la resolución de problemas y la toma decisiones."
ARQUITECTURA DE SOFTWARE,Definición del plan de migración a nube,Multiestructural,Comprender,Otros,"Explica fenómenos sociales o naturales a través de conocimientos científicos, tecnológicos y contextuales, en función de la resolución de problemas y la toma decisiones."
PROGRAMACIÓN IMPERATIVA,Dudas C++,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Distribución Normal,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,cadenas de markov,NO HAY VERBO,Crear,Estadística y Matemáticas,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
PROGRAMACIÓN IMPERATIVA,Proyecto integrador,Relacional,Crear,Proyecto Integrador,Integra aplicaciones orientadas a objetos con bases de datos para el desarrollo de soluciones prácticas
ANÁLISIS Y DISEÑO DE ALGORITMOS,Ecuación característica,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Cadenas de Markov,NO HAY VERBO,Crear,Estadística y Matemáticas,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
INGENIERÍA WEB,Verificación Requerimientos,Abstracto Extendido,Analizar,Otros,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
INGENIERÍA WEB,Aclaración Dudas Endpoints,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID,Test unitarios de funcionamiento (JUnit4),Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID,Screen en JetPack Compose,Preestructural,Comprender,Algoritmia,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID,Acompañamiento en Jetpack compose documental,Preestructural,Comprender,Algoritmia,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
ARQUITECTURA DE SOFTWARE,Definir el alcance de la arquitectura de procesos,Uniestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
ARQUITECTURA DE SOFTWARE,Validación de arquitectura para proyecto de grado - motivaciones arquitecturales y atributos de calidad,Abstracto Extendido,Crear,Investigación,Crear Automatización de Pruebas y Mejora Continua
PROGRAMACIÓN IMPERATIVA,Estructuras en C++,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,cadenas de Markov,NO HAY VERBO,Crear,Estadística y Matemáticas,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
INGENIERÍA WEB,Manejo de proyectos WEB en Repositorio Remoto,Aplicar,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
INGENIERÍA WEB,Seguimiento estudiante repitente,Relacional,Aplicar,Proyecto Integrador,"Manipula datos empleando herramientas y aplicando técnicas para la extracción, limpieza, transformación y preprocesamiento de datos en diferentes entornos y formatos."
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID,Ajustes en gitlab,Relacional,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID,Creación subgrupo gitlab,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID,Revisión App,Relacional,Analizar,Otros,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
PROGRAMACIÓN IMPERATIVA,Condicional múltiple en C++ ,Relacional,Analizar,Otros,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
PROGRAMACIÓN IMPERATIVA,Ciclos en C++,NO HAY VERBO,Analizar,Otros,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
PROGRAMACIÓN IMPERATIVA,Ciclos en c++,NO HAY VERBO,Analizar,Otros,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
PROGRAMACIÓN IMPERATIVA,Matrices,Multiestructural,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
PROGRAMACIÓN IMPERATIVA,Funciones,Relacional,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
PROGRAMACIÓN IMPERATIVA,Estructuras en C++,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Java - Objetos,Abstracto Extendido,Crear,Programación Java,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
ESTRUCTURAS DE DATOS,Estructuras,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,GUI,NO HAY VERBO,NO HAY VERBO,Investigación,NO HAY VERBO
ANÁLISIS Y DISEÑO DE ALGORITMOS,Ecuación característica,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Cadenas de Markov,NO HAY VERBO,Crear,Estadística y Matemáticas,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
INGENIERÍA WEB,Aclaración Dudas Endpoints,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID,Manejo de FORK en repos online,Aplicar,Aplicar,Programación Java,"Aplica técnicas de QoS para priorizar el tráfico de red, asegurando la entrega eficiente de servicios críticos mediante la virtualización de redes y redes definidas por software (SDN) para una administración más flexible y escalable."
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID,Verificación Log en repositorios bitbucket,Abstracto Extendido,Analizar,Otros,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID,Criterios de aceptación para Compose,Preestructural,Comprender,Investigación,"Aplica técnicas de QoS para priorizar el tráfico de red, asegurando la entrega eficiente de servicios críticos mediante la virtualización de redes y redes definidas por software (SDN) para una administración más flexible y escalable."
PROGRAMACIÓN IMPERATIVA,Dudas ciclos,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
PROGRAMACIÓN IMPERATIVA,Dudas Taller C++,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
PROGRAMACIÓN IMPERATIVA,Dudas funciones,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
PROGRAMACIÓN IMPERATIVA,Dudas arreglos,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
ALGORITMIA Y PROGRAMACIÓN,Programa de VB - Excel,Abstracto Extendido,Aplicar,Programación Python,"Aplica técnicas de QoS para priorizar el tráfico de red, asegurando la entrega eficiente de servicios críticos mediante la virtualización de redes y redes definidas por software (SDN) para una administración más flexible y escalable."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Distribución Normal,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,cadenas de Markov,NO HAY VERBO,Crear,Estadística y Matemáticas,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
INGENIERÍA WEB,Revisión de manejo de endpoints,Relacional,Analizar,Investigación,"Comprende el contexto histórico y social de la informática, mediante el análisis casuístico, relacionando tendencias tecnológicas actuales y sus implicaciones e impactos en la sociedad. "
INGENIERÍA WEB,Requerimientos para lineamientos Gob. TI,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ARQUITECTURA DE SOFTWARE,Seguimiento acerca del desempeño de la asignarura y estrategia para alcanzar un excelente puntaje ,Relacional,Recordar,Otros,Comprender Código y Requerimientos Existentes
PROGRAMACIÓN IMPERATIVA,Operaciones entre matrices,Relacional,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
PROGRAMACIÓN IMPERATIVA,Operaciones entre matrices,Relacional,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMIA Y PROGRAMACIÓN,Programa en Excel,Abstracto Extendido,Aplicar,Programación Java,"Aplica técnicas de QoS para priorizar el tráfico de red, asegurando la entrega eficiente de servicios críticos mediante la virtualización de redes y redes definidas por software (SDN) para una administración más flexible y escalable."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Distribución normal ,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
